0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22123223084.002	22122523059.0647	22120423640.2624	22116926794.1551	22112035793.5399	22105755210.2645	22098090905.1969	22089050015.425	22078640938.7038	22066873315.2518	22053758006.9414	22039307073.989	22023533749.2531	22006452410.2038	21988078548.7353	21968428738.8914	21947520602.6695	21925372774.019	21902004861.1779	21877437407.4902	21851691850.8533	21824790481.9537	21796756401.4118	21767613476.0247	21737386294.2367	21706100120.9858	21673780852.085	21640454968.2823	21606149489.1298	21570891926.8229	21534710240.1204	21497632788.4916	21459688286.6053	21420905759.2827	21381314497.0303	21340944012.2393	21299823996.1881	21257984276.886	21215454777.9018	21172265478.2051	21128446373.124	21084027436.4653	21039038583.8545	20993509637.3652	20947470291.444	20900950080.2046	20853978346.0898	20806584209.9485	20758796542.534	20710643937.4206	20662154685.3865	20613356750.2131	20564277745.9297	20514944915.4966	20465385110.882	20415624774.5625	20365689922.3841	20315606127.7888	20265398507.3625	20215091707.7003	20164709893.5241	20114276737.0445	20063815408.5203	20013348567.9844	19962898358.1141	19912486398.1348	19862133778.8533	19811861058.6122	19761688260.2877	19711634869.1616	19661719831.6928	19611961555.1338	19562377907.9678	19512986221.075	19463803289.6293	19414845375.7174	19366128211.5551	19317667003.2979	19269476435.4852	19221570675.9928	19173963381.4236	19126667703.1417	19079696293.3641	19033061312.149	18986774434.3203	18940846857.0604	18895289307.517	18850112050.9391	18805324898.8847	18760937217.8118	18716957937.7396	18673395561.1809	18630258172.2001	18587553445.6109	18545288656.2943	18503470688.6308	18462106045.9764	18421200860.2526	18380760901.5359	18340791587.7167	18301297994.1536	18262284863.3407	18223756614.5637	18185717353.5375	18148170882.012	18686208870.3902	18666896062.8711	18648334089.4787	18630246526.6442	18612392746.4839	18594686677.255	18577096961.5259	18559593897.1328	18542149432.3257	18524737219.2537	18507332662.0335	18489912959.3743	18472457141.7137	18454946102.8448	18437362626.0253	18419691404.5679	18401919056.9098	18384034136.2159	18366027134.5057	18347890481.393	18329618537.4568	18311207582.3463	18292655797.6656	18273963244.7536	18255131837.4486	18236165309.9516	18217071130.2225	18197881650.0933	18178643744.0754	18159402313.5682	18140199997.5038	18121077190.7761	18102072068.0818	18083220612.9478	18064556651.7443	18046111892.4424	18027915967.8827	18009996483.3149	17992379067.942	17975087430.216	17958143416.6152	17941567073.6215	17925376712.625	17909588977.4649	17894218914.3197	17879280043.6428	17864784433.87	17850742776.5714	17837164462.7756	17824057660.1433	17811429390.7082	17799285608.8801	17787631279.4125	17776470455.0423	17765806353.5166	17755641433.7167	17745977470.6002	17736815628.6889	17728156533.8332	17720000343.0004	17712346811.8237	17705195359.6802	17698545132.0657	17692395060.0348	17686743916.5071	17681590369.2331	17676933030.2344	17672770501.5488	17669101417.1113	17665924480.6326	17663238499.3369	17661042413.4417	17659335321.2839	17658116499.9898	17657385421.6344	17657141764.8182
33633862018.8121	33632085224.3964	33626757192.8092	33617884971.2234	33605480278.913	33589559468.4271	33570143471.5657	33547257730.5762	33520932114.9603	33491200824.4736	33458102278.9389	33421678995.5516	33381977454.4908	33339047953.6443	33292944453.3375	33243724412.0131	33191448613.8076	33136180989.0383	33077988428.5885	33016940593.2283	32953109718.8584	32886570418.7004	32817399483.4196	32745675680.1177	32671479551.1577	32594893213.6824	32516000160.686	32434885064.4379	32351633583.0076	32266332170.5808	32179067892.1958	32089928243.4942	31999000975.9868	31906373928.317	31812134863.8849	31716371315.2022	31619170435.2533	31520618856.0958	31420802554.8495	31319806727.2359	31217715668.7253	31114612663.311	31010579879.939	30905698276.4837	30800047511.27	30693705861.9263	30586750151.5112	30479255681.7089	30371296172.872	30262943710.7524	30154268699.6758	30045339821.8926	29936224002.8861	29826986382.3691	29717690290.6914	29608397230.4062	29499166862.7075	29390056998.4803	29281123593.6847	29172420748.8012	29064000712.0987	28955913886.4272	28848208839.3289	28740932316.1839	28634129256.159	28527842810.7816	28422114364.8182	28316983559.3564	28212488316.8151	28108664867.6765	28005547778.8951	27903169983.5607	27801562811.9454	27700756023.507	27600777839.8898	27501654978.5283	27403412688.135	27306074781.5717	27209663673.5238	27114200415.0785	27019704730.0235	26926195050.998	26833688555.7665	26742201203.4056	26651747770.4782	26562341887.0427	26473996072.4576	26386721770.9851	26300529387.0157	26215428320.0342	26131426999.1729	26048532917.3414	25966752664.9368	25886091963.0841	25806555696.3691	25728147945.0737	25650872016.8739	26393309642.8931	26354096920.095	26316357825.4842	26279093205.3719	26241995362.4925	26204912662.1525	26167698588.2318	26130212063.0142	26092317750.609	26053886343.5694	26014794832.3327	25974926757.1113	25934172441.8815	25892429210.1778	25849601582.3649	25805601454.1489	25760348256.0603	25713795546.5782	25666088875.3105	25617449267.0641	25568089549.2641	25518213799.6588	25468017152.6	25417685630.7772	25367396002.4145	25317315663.8798	25267602547.6099	25218405055.2348	25169862015.7119	25122102668.2422	25075246669.7125	25029404126.3253	24984675649.0657	24941152432.5787	24898916357.0062	24858040112.261	24818587071.3411	24780578761.3565	24743968616.3214	24708704526.0586	24674736690.1708	24642017596.7486	24610501996.3009	24580146871.1265	24550911400.3414	24522756920.7754	24495646883.994	24469546809.6553	24444424235.4735	24420248664.024	24396991506.6567	24374626024.7725	24353127268.7421	24332472014.7206	24312638699.6523	24293607354.7212	24275359537.5459	24257878263.3832	24241147935.6281	24225154275.8891	24209884253.9147	24195326017.6493	24181468823.6943	24168302968.4404	24155819720.1419	24144011252.1892	24132870577.8391	24122391486.6471	24112568482.8471	24103396725.906	24094871973.4814	24086990526.9945	24079749180.0228	24073145169.7024	24067176131.3272	24061840056.3102	24057135253.6608	24053060315.1254	24049614084.1193	24046795628.5659	24044604217.7385	24043039303.1993	24042100503.8967	24041787595.4854
43687120889.586	43683900833.6591	43674246162.997	43658173344.3365	43635709740.4099	43606893487.9827	43571773328.6464	43530408393.9221	43482867946.5624	43429231080.3465	43369586381.0003	43304031551.1226	43232673002.2979	43155625417.759	43073011289.1251	42984960430.8556	42891609476.1245	42793101357.8625	42689584778.669	42581213673.2061	42468146666.6963	42350546532.8659	42228579654.6013	42102415490.4058	41972226049.4553	41838185377.8865	41700469058.7137	41559253727.4387	41414716605.2803	41267035051.604	41116386136.8849	40962946237.3856	40806890652.3194	40648393244.2331	40487626102.98	40324759233.5139	40159960267.5533	39993394198.9828	39825223142.6723	39655606116.345	39484698844.888	39312653586.4825	39139618979.8168	38965739911.5607	38791157403.2004	38616008516.3652	38440426275.6345	38264539607.8729	38088473297.1098	37912347953.9288	37736279998.4309	37560381655.7407	37384760963.102	37209521787.6782	37034763854.0871	36860582780.7943	36687070124.5851	36514313432.2255	36342396298.6278	36171398430.7233	36001395716.4009	35832460297.8597	35664660648.7459	35498061654.5733	35332724695.8064	35168707733.2214	35006065395.021	34844849065.3408	34685106973.7184	34526884285.2733	34370223191.139	34215162999.0209	34061740223.5804	33909988675.9404	33759939553.6556	33611621528.4818	33465060834.1422	33320281352.5201	33177304698.8418	33036150305.3637	32896835503.6523	32759375605.3741	32623783981.5127	32490072139.9235	32358249801.2452	32228324973.1	32100304022.6042	31974191747.0843	31849991443.1273	31727704973.8161	31607332834.2763	31488874215.4851	31372327066.3378	32275223413.7745	32216952515.0937	32160115225.7646	32103522820.479	32046802699.8354	31989601361.3838	31931575489.1017	31872392682.1564	31811732154.7266	31749285405.9827	31684756859.3909	31617864470.4809	31548340302.2379	31475938301.1203	31400735321.7635	31323224620.5218	31243913495.8825	31163292109.3413	31081832805.1465	30999989478.468	30918196992.6471	30836870646.1878	30756405690.0641	30677176895.8721	30599538175.326	30523822251.4696	30450340381.9803	30379382134.8192	30311172959.4128	30245668546.6396	30182731256.7449	30122228602.8674	30064033468.8041	30008024146.853	29954084362.7022	29902103287.5126	29851975537.3808	29803601160.3703	29756885611.3329	29711739714.762	29668079615.937	29625826720.6488	29584907623.8115	29545254027.3025	29506802647.3754	29469495112.0347	29433277848.777	29398101963.1172	29363923108.3585	29330701347.0683	29298401004.7633	29266990516.3063	29236442265.5531	29206732418.7999	29177840752.6005	29149750476.5293	29122448051.5041	29095923004.2663	29070167738.6472	29045177344.2565	29020949424.7867	28997488164.7048	28974807996.0221	28952923655.7605	28931848807.8842	28911596092.9333	28892177177.5069	28873602803.3993	28855882836.1854	28839026313.0634	28823041489.7572	28807935886.2886	28793716331.4392	28780389005.722	28767959482.6856	28756432768.3883	28745813338.888	28736105175.5897	28727311798.3113	28719436295.9381	28712481354.5429	28706449282.8529	28701342034.9712	28697161230.2511	28693908170.2524	28691583852.7104	28690188982.4526	28689723979.2354
53124548651.5448	53119484421.017	53104302435.1046	53079034749.4523	53043734586.2609	52998476031.0215	52943353612.9316	52878481773.8181	52803994231.7549	52720043246.449	52626798794.6594	52524447664.549	52413192478.6522	52293250655.4874	52164853320.3168	52028244175.5314	51883678341.2396	51731421176.3886	51571747090.4666	51404938355.4002	51231283926.672	51051078282.0705	50864620285.791	50672212084.8189	50474158043.6795	50270763722.9296	50062334905.8375	49849176676.9434	49631592555.3558	49409883684.9802	49184348083.0228	48955279947.6001	48722969024.5338	48487700033.0131	48249752149.164	48009398546.2727	47766905989.9368	47522534486.173	47276536980.247	47029159103.7404	46780638967.309	46531206996.3533	46281085806.9022	46030490118.847	45779626703.7382	45528694364.3872	45277883943.5179	45027378358.8448	44777352662.018	44527974118.9361	44279402309.1725	44031789242.2171	43785279488.4361	43540010322.8721	43296111879.9354	43053707317.3772	42812912987.9012	42573838617.0235	42336587485.7828	42101256617.1905	41867936965.1678	41636713605.174	41407665925.4985	41180867818.4253	40956387870.6358	40734289552.1916	40514631403.5678	40297467220.2094	40082846234.2156	39870813292.9965	39661409034.2793	39454670057.4416	39250629090.9924	39049315155.8328	38850753724.5803	38654966876.3572	38461973447.4174	38271789177.3627	38084426851.0156	37899896435.9372	37718205215.6307	37539357918.4881	37363356842.5088	37190201975.9162	37019891113.6519	36852419969.9796	36687782287.1317	36525969940.2161	36366973038.4315	36210780022.6905	37231297623.1116	37153336731.3956	37077102875.6234	37000959431.949	36924250624.55	36846336437.085	36766592861.6866	36684413167.2132	36599209127.9925	36510412211.7378	36417474725.214	36319872167.7227	36217485882.4544	36111122660.5586	36001702412.4354	35890118423.3907	35777235978.3758	35663891055.6483	35550889090.9444	35439003813.7479	35328976157.2533	35221513243.5828	35117287445.8237	35016935474.8372	34920884920.2303	34828986414.4232	34740984328.4296	34656632062.8362	34575692224.5526	34497936782.4364	34423147201.6795	34351114556.8932	34281639623.8329	34214532949.7373	34149614902.2747	34086715697.1288	34025675404.2822	33966343933.0904	33908580996.2833	33852256053.0653	33797248231.5286	33743446230.639	33690748202.0969	33639061612.4274	33588303085.6983	33538398227.3113	33489281429.3662	33440897898.1225	33393246805.4525	33346372196.5621	33300317068.4805	33255121591.8039	33210823176.683	33167456543.7304	33125053799.5664	33083644516.7338	33043255817.6888	33003912462.5512	32965636940.3065	32928449563.1178	32892368563.4117	32857410193.3758	32823588826.517	32790917060.9009	32759405823.6969	32729064476.6499	32699900922.088	32671921709.0749	32645132139.3206	32619536372.4545	32595137530.2689	32571937799.5512	32549938533.1156	32529140348.6615	32509543225.0833	32491146595.8726	32473949439.2614	32457950364.7644	32443147695.7962	32429539548.0429	32417123903.3036	32405898678.5057	32395861789.6414	32387011210.3795	32379345025.1256	32372861476.3292	32367559005.8592	32363436290.2832	32360492269.9224	32358726171.5636	32358137524.7472
62267825983.4524	62260465199.9272	62238401679.4003	62201691777.72	62150428975.6516	62084743217.2667	62004799997.3776	61910799211.1036	61802973782.0823	61681588088.4716	61546936208.3547	61399340007.9342	61239147097.2541	61066728679.0512	60882477316.5478	60686804645.802	60480139057.7068	60262923373.4313	60035612535.8867	59798671338.0091	59552572206.7129	59297793059.2132	59034815246.4037	58764121595.4408	58486194561.714	58201514497.989	57910558046.5351	57613796658.0308	57311695239.1881	57004710929.4418	56693292005.4985	56377876911.3217	56058893409.9796	55736757852.7785	55411874560.5415	55084635311.1038	54755418926.7611	54424590955.0741	54092503436.2869	53759494750.5134	53425889537.8272	53091998684.6919	52758119370.0341	52424535164.7908	52091516178.8551	51759319249.6601	51428188167.1143	51098353929.695	50770035027.1254	50443437745.2185	50118756488.9135	49796174119.8401	49475862305.1545	49157981874.5193	48842683182.7162	48530106475.3015	48220382255.3482	47913631649.2746	47609966770.1474	47309491077.1528	47012299729.7947	46718479936.0166	46428111293.2305	46141266121.6034	45858009788.9785	45578401027.027	45302492237.3629	45030329793.381	44761954319.9356	44497400979.9682	44236699739.2287	43979875626.0848	43726948981.0982	43477935697.0917	43232847450.0785	42991691920.9926	42754473008.5776	42521191033.744	42291842935.424	42066422458.4179	41844920333.3181	41627324448.8962	41413620017.1746	41203789731.4924	40997813917.7869	40795670679.4525	40597336035.9393	40402784055.4317	41552480402.7506	41455997861.3147	41360378434.0562	41264249947.3973	41166591952.8235	41066405065.8318	40962712894.8207	40854563925.4075	40741033358.5549	40621224900.6935	40494391466.1007	40361149971.9465	40222945938.758	40081202516.0872	39937304735.0545	39792597331.9568	39648382656.8943	39505918670.0779	39366417028.4852	39231041265.7037	39100905011.3242	38976781644.9256	38858454271.5594	38745514462.4344	38637567019.1793	38534230324.1333	38435136663.0993	38339932520.1178	38248278843.8085	38159851284.8461	38074340404.121	37991451851.1879	37910906512.5985	37832440629.7614	37755805885.9982	37680769462.5154	37607114063.049	37534637906.9917	37463154690.8831	37392493518.1893	37322504740.7572	37253166536.8361	37184562139.5859	37116773774.1846	37049878786.6509	36983949683.4316	36919054181.2058	36855255266.7453	36792611266.6617	36731175926.8362	36670998501.2981	36612123850.2896	36554592547.2186	36498440994.192	36443701545.759	36390402640.4904	36338568939.9923	36288221474.9009	36239377797.4003	36192052139.7759	36146255578.4823	36101996203.1827	36059279290.2074	36018107479.8458	35978480956.8695	35940397633.6754	35903853335.4186	35868841986.4919	35835355797.7011	35803385453.4769	35772920298.4698	35743948522.8476	35716457345.6458	35690433195.5051	35665861888.1372	35642728799.8807	35621019036.7076	35600717598.0559	35581809499.076	35564279479.3834	35548112496.9809	35533294313.1247	35519811571.5119	35507651860.5377	35496803770.9624	35487256948.7628	35479002142.9733	35472031248.3306	35466337342.5712	35461914718.2294	35458758908.82	35456866709.3082	35456236190.788
71281369642.5239	71271194048.2557	71240698315.0939	71189975321.3953	71119178967.5735	71028522847.8612	70918278424.3662	70788772735.7104	70640385680.0916	70473546918.9697	70288732452.5188	70086460921.6379	69867289693.5155	69631810788.3157	69380646704.1454	69114446195.4682	68833880057.2185	68539636963.1285	68232419402.1279	67912939751.6998	67581916521.5598	67240070795.6044	66888122894.4604	66526789275.5137	66156779682.328	65778794550.4263	65393522672.1583	65001639119.5011	64603803420.2518	64200657980.2467	63792826741.805	63380914066.8415	62965503831.5086	62547158718.3029	62126419690.8776	61703805636.4721	61279813160.8005	60854916520.4259	60429567678.104	60004196466.9288	59579210849.9801	59154997262.8054	58731921026.8165	58310326822.7099	57890539213.7009	57472863209.3018	57057584861.2586	56644971883.991	56235274292.792	55828725053.6406	55425540739.3794	55025922187.4935	54630055155.4634	54238110970.1594	53850247168.3161	53466608125.5369	53087325671.7626	52712519691.4753	52342298707.3123	51976760445.9549	51615992385.5915	51260072284.3426	50909068689.3008	50563041426.0581	50222042068.406	49886114389.4531	49555294792.458	49229612723.2447	48909091064.4632	48593746511.3698	48283589930.3362	47978626700.4152	47678857038.4589	47384276308.6172	47094875316.6071	46810640589.511	46531554641.7295	46257596227.6138	45988740581.4925	45724959645.6661	45466222286.9119	45212494502.1479	44963739613.7477	44719918455.0966	44480989546.8306	44246909264.3445	45479219654.133	45363025238.9005	45247863831.0094	45131781289.4326	45013307780.0298	44891000481.7898	44763446210.3895	44629263997.7863	44487107626.0105	44335717981.4905	44175375408.082	44008085942.7353	43835907976.0806	43660851346.0561	43484874186.2739	43309879865.3063	43137714020.4371	42970161689.696	42808944546.2423	42655481058.707	42509707125.5322	42371026628.3424	42238860184.3604	42112646666.0056	41991843730.8028	41875928319.4472	41764397121.1254	41656767005.1071	41552575417.6651	41451380743.2935	41352762629.2647	41256322272.5122	41161682667.8872	41068488816.84	40976407895.6246	40885129382.1713	40794396952.9956	40704226431.751	40614755041.2712	40526113754.1106	40438426442.8128	40351809864.0061	40266373657.4773	40182220360.3158	40099445436.1788	40018137319.7019	39938377476.0291	39860240475.3977	39783794082.6761	39709099361.7	39636210794.2054	39565176413.114	39496037949.8769	39428830995.5237	39363585175.0276	39300324334.5359	39239066740.9695	39179825293.451	39122607745.9552	39067416940.5557	39014251050.5656	38963103832.8472	38913964881.0647	38866816430.6222	38821629036.0771	38778370656.7225	38737008386.6796	38697508603.0273	38659837115.5104	38623959317.3111	38589840336.3699	38557445186.7254	38526738919.3517	38497686771.955	38470254317.1931	38444407608.7949	38420113325.0477	38397338909.1302	38376052705.779	38356224093.7908	38337823613.8629	38320823091.3053	38305195753.1619	38290916339.3069	38277961207.0936	38266308429.1667	38255937884.0669	38246831339.2815	38238972526.429	38232347208.2901	38226943237.4287	38222750606.1806	38219761487.8162	38217970268.722	38217373571.4744
80263591920.64	80250002037.4953	80209281387.0229	80141576450.7406	80047129657.9778	79926276865.5203	79779443906.1977	79607142280.2708	79409964079.5048	79188576247.1521	78943714286.4483	78676175536.2736	78386812134.9108	78076523791.5248	77746250480.6939	77396965168.3983	77029666668.2984	76645372716.5805	76245113341.1794	75829924588.7491	75400842659.7991	74958898489.9025	74505112802.8692	74040491650.8176	73566022446.1172	73082670481.386	72591375926.3058	72093051283.8271	71588579283.4471	71078811185.3847	70564565466.9484	70046626860.4938	69525745711.6529	69002637626.3013	68477983375.0706	67952429025.3613	67426586271.8784	66901032938.3639	66376313625.097	65852940478.4297	65331394060.6969	64812124300.8412	64295551507.9141	63782067431.6767	63272036356.0757	62765796213.414	62263659708.2464	61765915441.8036	61272829028.956	60784644200.9505	60301583888.3815	59823851279.6897	59351630851.5091	58885089367.9211	58424376846.3619	57969627488.5216	57520960575.1984	57078481324.3477	56642281712.1172	56212441256.9871	55789027767.229	55372098052.4213	54961698598.5789	54557866212.3797	54160628626.85	53770005078.8701	53386006854.1161	53008637802.4025	52637894824.3927	52273768331.2455	51916242678.1652	51565296573.3357	51220903463.4265	50883031896.9047	50551645866.3386	50226705130.9288	49908165520.322	49595979220.8208	49290095045.0517	48990458686.043	48697012956.7214	48409698015.6564	48128451579.9919	47853209126.3089	49120325711.532	48982680124.0228	48847981572.2729	48712427156.8517	48574014769.8106	48430774244.2288	48280770708.5364	48122107905.9612	47952931477.3869	47771756385.2958	47579963873.9338	47380369363.1716	47175744224.7976	46968799073.9175	46762179608.7762	46558462538.3654	46360151602.3265	46169673688.139	45988951769.0779	45817791326.9814	45655379717.4922	45500926694.1827	45353665342.2668	45212852829.8547	45077771126.9926	44947727691.0146	44822056116.6193	44700116749.033	44581297258.548	44465013174.6811	44350708378.1908	44237855549.1223	44125956569.1068	44014558083.0452	43903549119.8419	43793121078.2455	43683468166.9725	43574775211.8463	43467217549.9451	43360960942.4068	43256161506.3164	43152965666.0849	43051510124.689	42951921855.0979	42854318112.1787	42758806465.3183	42665484851.9399	42574441652.0521	42485755783.8937	42399496820.6693	42315725128.3237	42234492024.212	42155839956.4521	42079802703.6854	42006405594.8818	41935665288.5963	41867574908.5665	41802103117.0523	41739214365.1762	41678870331.4384	41621030087.182	41565650270.0656	41512685265.0441	41462087392.3243	41413807101.7169	41367793172.796	41323992920.2209	41282352403.5703	41242816640.9966	41205329825.9975	41169835546.5708	41136277006.0111	41104597244.5846	41074739361.3108	41046646735.0758	41020263244.2848	40995533484.2746	40972402981.6979	40950818405.1041	40930727770.9412	40912080644.2278	40894828333.1422	40878924076.8178	40864323225.6298	40850983413.3029	40838864720.19	40827929827.1021	40818144159.1074	40809476018.7453	40801896708.1565	40795380639.654	40789905434.3072	40785452008.1708	40782004645.8165	40779551060.887	40778082443.4383	40777593493.8888
89279905246.3722	89262202533.167	89209169347.7025	89121029608.349	88998153390.505	88841052330.3111	88650373358.9764	88426890927.6039	88171497915.7024	87885195441.7666	87569081810.5644	87224340839.4186	86852229804.5575	86454067239.9183	86031220805.3004	85585095420.0468	85117121833.7522	84628745778.498	84121417818.8269	83596583987.6525	83055677269.5017	82500109967.2244	81931266966.095	81350499889.4715	80759122123.8026	80158404677.1336	79549572825.173	78933803490.9038	78312223298.9742	77685907242.9166	77055877902.3183	76423105147.46	75788506270.8156	75152946487.3093	74517239748.8763	73882149822.4089	73248391584.659	72616632491.7021	71987494185.0004	71361554200.196	70739347748.8267	70121369547.0263	69508075668.6338	68899885403.607	68297183105.4162	67700320013.992	67109616042.9711	66525361522.2951	65947818889.0958	65377224321.3373	64813789310.1112	64257702167.9705	63709129471.3791	63168217436.4267	62635093227.7925	62109866201.2962	61592629081.2688	61083459073.8618	60582418918.4532	60089557873.5384	59604912674.7159	59128508363.1067	58660359158.4258	58200469208.2395	57748833318.0176	57305437630.6661	56870260262.7365	56443271899.5893	56024436352.2256	55613711077.6471	55211047665.297	54816392291.4742	54429686143.8751	54050865818.1846	53679863688.5063	53316608253.47	52961024459.6027	52613034003.6007	52272555614.9098	51939505320.0791	51613796690.1231	51295341072.1791	50984047806.5465	52386402500.2166	52231627502.4545	52077050771.4264	51919848758.6185	51757442208.4241	51587291323.0299	51406899824.037	51213818996.4741	51006043633.3591	50785262310.9069	50555120662.905	50319218359.2115	50081083503.7566	49844167390.6199	49611839330.9593	49387381555.9628	49173889782.9345	48972344078.6628	48781754162.5572	48601076260.5764	48429294722.1163	48265423017.7779	48108504709.8533	47957614393.4896	47811858606.3213	47670376704.2229	47532341700.69	47396961067.2495	47263477492.2111	47131169594.9591	46999358913.7902	46867749492.2918	46736577088.6324	46606110122.0126	46476605370.8321	46348307754.414	46221450135.5514	46096253144.7054	45972925026.6667	45851661510.4895	45732645703.4614	45616048009.8533	45502026075.1452	45390724756.3762	45282276119.2038	45176799462.2044	45074401368.87	44975175787.666	44879204140.4586	44786555459.4988	44697276454.7062	44611358107.9131	44528772740.6926	44449487786.8191	44373465929.5064	44300665252.2375	44231039403.7882	44164537777.0953	44101105701.5662	44040684648.3719	43983212448.2022	43928623520.9056	43876849116.3889	43827817566.0773	43781454544.2148	43737683338.2032	43696425127.1526	43657599267.7649	43621123586.6284	43586914677.9693	43554888205.8725	43524959209.9448	43497042413.3853	43471052532.387	43446904585.7952	43424514203.9204	43403797935.4082	43384673551.0595	43367060343.4941	43350879421.5711	43336053998.4665	43322509672.3572	43310174698.6535	43298980252.7632	43288860682.3988	43279753748.4715	43271600853.6584	43264347257.7692	43257942279.093	43252339480.9451	43247496842.704	43243376914.6727	43239946956.1692	43237179056.3075	43235050237.0061	43233542537.8174	43232643082.2534	43232344125.3454
98377292767.919	98354658003.2872	98286865815.0026	98174250837.6918	98017365241.764	97816970586.6246	97574026773.1323	97289678429.9757	96965239133.3594	96602173904.05	96202080449.9836	95766669626.2388	95297745569.3185	94797185931.4918	94266922597.3516	93708923211.9695	93125173791.8143	92517662629.4985	91888365644.2803	91239233274.5155	90572178957.7529	89889069200.0974	89191715199.3415	88481865956.7135	87761202788.9734	87031335136.7044	86293797553.576	85550047756.4256	84801465614.2665	84049352956.5974	83294934085.9603	82539356886.3421	81783694426.6875	81028946967.606	80276044288.2285	79525848259.3391	78779155597.5702	78036700744.0895	77299158818.8686	76567148609.1872	75841235557.4269	75121934719.2911	74409713669.0269	73704995332.635	73008160734.481	72319551646.0015	71639473128.3925	70968195963.7416	70305958971.1608	69652971206.3812	69009414044.7831	68375443148.8903	67751190322.5825	67136765254.8941	66532257156.765	65937736294.9992	65353255427.2654	64778851142.5433	64214545114.0769	63660345262.17	63116246843.0308	62582233457.2203	62058277988.5649	61544343475.8125	61040383921.628	60546345042.924	60062164966.4871	59587774873.6014	59123099597.1941	58668058174.8941	58222564361.1632	57786527101.521	57359850971.5943	56942436583.795	56534180963.9516	56134977900.2946	55744718266.9654	55363290324.005	54990579995.7769	54626471129.5106	54270845735.598	53923584211.1542	55448455698.2222	55274647105.253	55099455341.9455	54919613674.009	54731897775.061	54533129848.655	54320183397.9976	54090124550.2986	53843616370.0949	53585088179.706	53319082047.634	53050059829.801	52782396819.3633	52520375435.3176	52268178955.2329	52029519490.7888	51804772403.8655	51592611848.74	51391729138.5721	51200849192.5419	51018731763.2187	50844172645.3837	50676004863.5742	50513099835.371	50354368507.2175	50198762459.3478	50045274976.2199	49892942078.6642	49740876857.0111	49588858310.5819	49437228726.0627	49286336789.5799	49136517247.213	48988090563.3781	48841362600.874	48696624323.8546	48554151524.9868	48414204578.0779	48277028217.4462	48142851345.2917	48011886868.3001	47884331564.6844	47760365982.8011	47640154372.4431	47523844649.8139	47411568396.6485	47303421144.9466	47199413110.7574	47099530282.7057	47003751711.589	46912049591.7641	46824389362.5675	46740729829.8117	46661023307.3184	46585215778.3757	46513247076.9314	46445051088.2443	46380555968.6483	46319684383.9839	46262353766.1859	46208476587.4297	46157960651.143	46110709399.1397	46066622234.0223	46025594855.9537	45987519612.7984	45952285862.5951	45919780347.2236	45889887576.0991	45862490218.6492	45837469504.2841	45814705628.5256	45794078163.9173	45775466474.3024	45758750129.2227	45743800759.5328	45730466283.4261	45718599199.0843	45708062730.0642	45698730330.1336	45690485195.1152	45683219783.6851	45676835349.0552	45671241483.455	45666355677.2633	45662102894.6346	45658415167.3615	45655231208.6936	45652496048.7218	45650160692.8809	45648181805.013	45646521416.3509	45645146661.6565	45644029543.6615	45643146726.8058	45642479361.1825	45642012937.4342	45641737173.2404	45641645931.883
